--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
test2/task3\2Y8ujqsBWcI6Rllj.png	w6vf                     	0.9987
test2/task3\2dNSDbhDmesbxh4j.png	ca6s                     	0.9983
test2/task3\2e5MMIPBLbjc7xT6.png	s17w                     	0.9982
test2/task3\2gfV331SY5ZUliqK.png	9s2p                     	0.9966
test2/task3\2i2YCG7TvoDEwocS.png	3knf                     	0.9981
test2/task3\2ixGv1BpzAbCMtQQ.png	1wfr                     	0.9983
test2/task3\2vIpNeN5UiYmPEj6.png	837t                     	0.9917
test2/task3\2xkzqkvvMOLB2AJG.png	ch9y                     	0.9985
test2/task3\3J6vdnmHSPsLPnTm.png	7sks                     	0.9985
test2/task3\3NV8UcgjpeVggNJS.png	tvdk                     	0.9987
test2/task3\3PottCq3On7bb2Pq.png	h2n5                     	0.9988
test2/task3\3Taux2KxRpPdF6Mr.png	v9pd                     	0.9985
test2/task3\3WnQKIm2orChb8ij.png	4wvf                     	0.9985
test2/task3\3gnhYg7urj6MzjVK.png	p5cd                     	0.9885
test2/task3\3hTBBm1cGTSdNNDl.png	t81k                     	0.9969
test2/task3\3l7TJ9iNvv2gjiIv.png	97ty                     	0.8326
test2/task3\4J7omw35O9zfZhAE.png	h9x1                     	0.9983
test2/task3\4LpOPZngT4NxlPZS.png	93k6                     	0.9986
test2/task3\4O4EYLnhk3BuZWPG.png	4p1x                     	0.9980
test2/task3\4P2Wq0971XJ2w26v.png	8455                     	0.9981
test2/task3\4PIhETdp6Ukah7r0.png	r5j8                     	0.9935
test2/task3\4VvJwB8155m2Ih37.png	yys7                     	0.9733
test2/task3\4WIVVmHOuJEh0NE2.png	349d                     	0.9987
test2/task3\4X15u5VczobMrJ0N.png	h8wm                     	0.9985
test2/task3\4dfqbf2UdLhJw6uE.png	2h0r                     	0.9986
test2/task3\4fGzkacCnfmYFTcM.png	crjt                     	0.9958
test2/task3\4fsG2wzFUu9k2UFT.png	st36                     	0.9976
test2/task3\4h8cLZoaFH4l35Es.png	2wtm                     	0.8454
test2/task3\4iD4uqQ4uyI4j87r.png	cc59                     	0.9957
test2/task3\4k6ULbI4xQ6UEyUc.png	9y87                     	0.9988
test2/task3\4uMgBviiDfS4qoJ6.png	h0se                     	0.9988
test2/task3\5AWovWQ6cJ0B5b3W.png	n312                     	0.9984
test2/task3\5J2nMOxz4e7wwQU9.png	86xv                     	0.9974
test2/task3\5JyZWovypaOGwQji.png	55hx                     	0.9956
test2/task3\5K9Rc1kWUPflh68H.png	rm6c                     	0.7411
test2/task3\5M2XXKDgc9DYghvA.png	h10r                     	0.9986
test2/task3\5d0oFp7qcpYaDQIt.png	yrx7                     	0.4858
test2/task3\5gEp1jR9jNNfuqlk.png	desr                     	0.9975
test2/task3\5gbQyqD8Vz1AdY72.png	fv3m                     	0.9894
test2/task3\5ggIQwGAXuxRkecw.png	6w2t                     	0.9988
test2/task3\5hlgNf2OVpqAoVte.png	1srm                     	0.9986
test2/task3\5iFkl3X4OlU26s8m.png	rafw                     	0.9983
test2/task3\05nKs8UHcBG6kWrv.png	cn8s                     	0.9976
test2/task3\5rndsfJgGpDRJitZ.png	9pvr                     	0.9972
test2/task3\5si7u7Hn0C68qqne.png	4vwf                     	0.9986
test2/task3\5yh0VRFpZt90HjQF.png	5mcp                     	0.9965
test2/task3\5yj46xy8LzAwlJOv.png	ye81                     	0.9977
test2/task3\6D2qA1uj9vIZ4HKU.png	e0r5                     	0.9987
test2/task3\06FuaBSk8CUdqkQv.png	ts4r                     	0.9990
test2/task3\6G8zMFfF7Zzj1Kj3.png	rkdp                     	0.9973
test2/task3\6IGKtkLFNKOpJz7E.png	td8c                     	0.9979
test2/task3\6Ko44oJenO0fEHGR.png	7tf9                     	0.9983
test2/task3\6MKvOoxT67cFMYkz.png	pdwv                     	0.9986
test2/task3\6QYCpFNh1DXrpZkH.png	rsnk                     	0.9973
test2/task3\6UXU1oFP86jWHlOE.png	m0et                     	0.9978
test2/task3\6VmorTsimKMqHymn.png	c2ra                     	0.9982
test2/task3\6Vt7FJ9X6p2TQDL4.png	p082                     	0.9984
test2/task3\6ZimWQOG2eYbR09G.png	52p1                     	0.9983
test2/task3\6byXoK4Bog7i2QVR.png	03ps                     	0.9981
test2/task3\6cRgfFJzDoVGJItf.png	ts52                     	0.9798
test2/task3\6fUNfXWjieETVv4p.png	t3j9                     	0.9887
test2/task3\6gztSZgztFSYIvWf.png	jvmk                     	0.9959
test2/task3\6i7PPfmyPA7kd2u1.png	ex47                     	0.9809
test2/task3\6iXUqZIK96j52iFU.png	n88x                     	0.9991
test2/task3\6lJ2M2QKtWwyBmdV.png	v60n                     	0.9988
test2/task3\6lwUBv7PMtK8QLBp.png	6ve6                     	0.9989
test2/task3\6qqJMAwHielugJW5.png	5y8r                     	0.9986
test2/task3\6s45EpL6n9lLnChr.png	amht                     	0.6877
test2/task3\6swlSn9sgEOu5VOb.png	cee4                     	0.6374
test2/task3\7CEdECy4xUp7FlA0.png	nvjd                     	0.9972
test2/task3\7GcZ3gCiJhJ5Izrx.png	arha                     	0.9967
test2/task3\7HeEWySAlcmZP4qh.png	9ceh                     	0.9979
test2/task3\7J8BjBM48ZPBAGRl.png	9h52                     	0.9982
test2/task3\7K8ws4kC0XEcX7Br.png	38nc                     	0.9952
test2/task3\7KfJTDoqz4J0nwOW.png	js24                     	0.9954
test2/task3\7MPvkqI7ukrOCWbZ.png	e4hh                     	0.5790
test2/task3\7MmzrqAsiamEZGwp.png	0kdn                     	0.9936
test2/task3\7P5LlNo1STlH7lAy.png	hwf4                     	0.9982
test2/task3\7PbaWSCGcdus1e8h.png	w3a1                     	0.9944
test2/task3\7QJDDxFE1L4b9vLw.png	3tvc                     	0.9969
test2/task3\7Tq0hnNDzPwgs5jA.png	5axt                     	0.9982
test2/task3\7VKSsZTl7ctVCBHV.png	1fed                     	0.9980
test2/task3\7cfyGOKB5IqToWYE.png	201w                     	0.9977
test2/task3\7eWfSEKBk9FRx1F0.png	ec3x                     	0.9982
test2/task3\7g4iyMblFm37mSSp.png	xt9s                     	0.9976
test2/task3\7kgvGWTGzNln5y5B.png	xf1r                     	0.9980
test2/task3\7twbdAliEDvQnBT4.png	xypp                     	0.9988
test2/task3\7whHMSPRdp2oKRr2.png	2h0k                     	0.9975
test2/task3\7yfd70nUmHbsvplR.png	7as8                     	0.9981
test2/task3\8EjoKT1y9cGI5zsL.png	y67h                     	0.9962
test2/task3\8F5YRQykB1yL15RZ.png	dsk4                     	0.9978
test2/task3\8FbEKDFjOts0Zdzh.png	yn1x                     	0.9975
test2/task3\8Hnta1Uvjl78jQkL.png	sjve                     	0.9986
test2/task3\08OU3QFXfWv6M0zC.png	mstn                     	0.9924
test2/task3\8OXizzRvRct2eUtt.png	042y                     	0.9958
test2/task3\8a7Pa8HflqeP1ixm.png	x711                     	0.9958
test2/task3\8atWZBu8bUFQCfUv.png	w4dh                     	0.9982
test2/task3\8cZJdtIUvcIlnakV.png	npk7                     	0.9984
test2/task3\8ccFfJnKObi05RMj.png	4t0e                     	0.9986
test2/task3\8h5BbBBLhPhp1tmT.png	c0p1                     	0.9985
test2/task3\8l4BZUr4jH3GagHJ.png	ckmm                     	0.9573
test2/task3\8oF4EGBKW0EybpSq.png	rhc9                     	0.9968
test2/task3\8tnqUX5i9BdGYEKQ.png	r71c                     	0.9975
test2/task3\8vVJFHaI6POCYKAU.png	8a2w                     	0.9981
test2/task3\8vmyH9tcMFW3KMsW.png	pj5v                     	0.8177
test2/task3\8ze0oUx3SpmFpDHc.png	7s08                     	0.9937
test2/task3\8zzd97E49ZS8jVPT.png	pt7d                     	0.9965
test2/task3\9Bk9HXPNT61oI7xQ.png	hm2t                     	0.9980
test2/task3\9MtCgPitmAGEwWLF.png	wewy                     	0.9973
test2/task3\9TIPQnKh7zkbqZwc.png	s87c                     	0.9976
test2/task3\9UxYGNT5clDnEnL5.png	yexf                     	0.9983
test2/task3\9WBpAEWWWqMGnJ71.png	jkhv                     	0.9979
test2/task3\9YcVH67zbjgsm3Pf.png	wesv                     	0.9965
test2/task3\9jsdbSSCSBXVuS62.png	10fd                     	0.9989
test2/task3\9qfrPJqHeavMvcjv.png	cdjx                     	0.9988
test2/task3\9widDBgl1oLIui9A.png	wy7k                     	0.9986
test2/task3\15NaHIVWRbQ8YiqJ.png	8mnr                     	0.9941
test2/task3\17b7vup7kGJYgll3.png	nxtj                     	0.9959
test2/task3\18AgMUFmzwIIgIfN.png	t372                     	0.7219
test2/task3\19srCcapzLqM4Uzh.png	v3np                     	0.9951
test2/task3\27u6okiQEIfr1doe.png	r0n8                     	0.9975
test2/task3\29F9T2T0Ub2ojwqS.png	nr58                     	0.9965
test2/task3\35rAvlGVROTY21xu.png	d0tk                     	0.9987
test2/task3\38JcfBZxN2GfvDUM.png	c18j                     	0.9862
test2/task3\39FlGRsXgNNaYCIf.png	0cax                     	0.5044
test2/task3\40N2xGgG0rUmKtIz.png	1hpm                     	0.9977
test2/task3\42AwuKvLKi2F636B.png	42nf                     	0.9854
test2/task3\46XGuHZtWexNg6Jc.png	djkk                     	0.9990
test2/task3\47EX1qprlaKrFmEI.png	tpe6                     	0.9982
test2/task3\51qtk8tUGyinfD7c.png	ww1k                     	0.9977
test2/task3\53aswNkiCkYYc9cD.png	k9s6                     	0.9976
test2/task3\55nglWvB550zjt6n.png	da3x                     	0.9041
test2/task3\59h1MltcSQp8Nznn.png	vmyy                     	0.9972
test2/task3\67sQCtcrWJrlMaTZ.png	t7s9                     	0.9956
test2/task3\71FeZtbeH11Dh00g.png	fa3k                     	0.9978
test2/task3\74ejFXnkhKO26Khz.png	3pf1                     	0.9960
test2/task3\77QKxRNh6re7ZdPZ.png	arp7                     	0.9965
test2/task3\87HroSpEpWzNWY32.png	afpc                     	0.9870
test2/task3\87JHTOeKlt6utPH6.png	6nfd                     	0.9973
test2/task3\91Mp6COWVBF3n2TE.png	saf1                     	0.9971
test2/task3\94Rstwst3hz1CQIs.png	4mf3                     	0.9937
test2/task3\96DkPCL0nOFQTBER.png	p037                     	0.9941
test2/task3\98mlONTGvS2lAwk5.png	pat8                     	0.8960
test2/task3\99LkE3Vvo0JciBsO.png	52nm                     	0.9622
test2/task3\240g0aZVnXhFUihl.png	0sdt                     	0.9988
test2/task3\251YPVcIB7WRrzty.png	3e1f                     	0.9975
test2/task3\410TKnmKzu3kdehD.png	kpt6                     	0.9984
test2/task3\495dNrGJ7IMQ4MUk.png	yayk                     	0.9987
test2/task3\621rtPFFhxsoHTum.png	x4rv                     	0.9987
test2/task3\780JIRjzcWaeMRJl.png	83w1                     	0.9982
test2/task3\7269Q08qJyej0UO8.png	at9w                     	0.9958
test2/task3\A3WrOc2Od6Ae0x90.png	dh4r                     	0.9980
test2/task3\A9oRfud30IM10Okk.png	vvp1                     	0.9988
test2/task3\AEF1Syvs0hsIWIDV.png	ynn7                     	0.9983
test2/task3\AFuaX8wontLkKoOQ.png	4vdj                     	0.9007
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
test2/task3\AG5f0aXvgMpakzWh.png	4epn                     	0.9947
test2/task3\AGX2oZLvo3KCiQNa.png	ce05                     	0.9987
test2/task3\AHhpONe1kY2H8e7x.png	2atw                     	0.9990
test2/task3\AK0KOY5SY99eTDQA.png	8wsy                     	0.9958
test2/task3\AM66uXbvB7j6TSlS.png	f1wf                     	0.6037
test2/task3\AU9CSrCUJchNY6WP.png	ej2d                     	0.7895
test2/task3\AWAgQvIrdPOWHRtQ.png	stj5                     	0.9982
test2/task3\AX7RVBqyRFrHJoRW.png	xm4n                     	0.9980
test2/task3\AYuafmx4qou5HsGd.png	74h6                     	0.9688
test2/task3\AaJppOIKvWMJJWqP.png	2x5a                     	0.9989
test2/task3\AfBVRX6VOwGt51JC.png	h2d2                     	0.9983
test2/task3\Ag0PdvXBivuEql4v.png	nps2                     	0.9989
test2/task3\Ai2LSpgV7HpmNNcm.png	sw74                     	0.9978
test2/task3\Aja3BDns2se35sVm.png	8stc                     	0.9982
test2/task3\AoSwIqGhu96gkiwL.png	w2m1                     	0.9772
test2/task3\AqNKCdMieotEe6df.png	ha7r                     	0.9953
test2/task3\AsHgQr4jAG2Q1ZCJ.png	9272                     	0.9804
test2/task3\AstQDAs3AYLcPiqM.png	n016                     	0.9984
test2/task3\AxAY7WBAifEC10cI.png	4wvh                     	0.9991
test2/task3\AxUhPFIiEvHKtlC4.png	3cwj                     	0.9886
test2/task3\B0p5vZn0NsJLIkfQ.png	txjd                     	0.9991
test2/task3\B5X9zgFrTyQjUqZS.png	6r3e                     	0.9975
test2/task3\B5x5pFKoxhC8CGHp.png	688v                     	0.9989
test2/task3\B8LTZiXK9iL8qByU.png	een5                     	0.7230
test2/task3\B8jcGTEtO6fED6kk.png	d5w9                     	0.9990
test2/task3\BAF8xJqbmxJ5fHi7.png	3m1n                     	0.9977
test2/task3\BJLr9qA26q1ca8XA.png	v45w                     	0.9969
test2/task3\BX9eoSCzMqzx9Iwz.png	3hxe                     	0.9985
test2/task3\BbEHcMNh2TBP4gOt.png	47es                     	0.9982
test2/task3\Bbt96GM5sR3xcQL8.png	pctd                     	0.9967
test2/task3\BlyE7F6UrQk2fgui.png	pef8                     	0.9984
test2/task3\BxizUgUWTeCCCaNn.png	9vd0                     	0.9979
test2/task3\C0Efsm5N5mZqz9EC.png	kfph                     	0.9943
test2/task3\C3ly34JTe9sduSxp.png	0apa                     	0.9990
test2/task3\C5OcFo0ZLXoTgfLE.png	an0n                     	0.9982
test2/task3\C6HCZS4t3joR2e55.png	7nxj                     	0.6204
test2/task3\CAY1Osold9aG3IkS.png	x0wr                     	0.9986
test2/task3\CAtzseqLV9I7505u.png	vf59                     	0.9911
test2/task3\CBM8NOEj5TrLgTfn.png	0ja2                     	0.7712
test2/task3\CITP3zG9a1UnT90t.png	e4m5                     	0.9983
test2/task3\CLFAblkq3QwzeMsI.png	d0j4                     	0.9826
test2/task3\CMGQfQZpwiX4r5uZ.png	4m7p                     	0.9982
test2/task3\CSLDGIrTBtQ3yqqk.png	507v                     	0.9978
test2/task3\CUe0DS4E9RUsWjXi.png	c2e9                     	0.9980
test2/task3\CUlNDUuqArgsPahV.png	m2vf                     	0.9983
test2/task3\CYWtfxMGnap05PoY.png	kfxf                     	0.9986
test2/task3\CYadtHgjb5nyE26j.png	c943                     	0.9811
test2/task3\Ca4OJq9dA6PAT5VP.png	7ry2                     	0.9712
test2/task3\CbYCUThz3MaPBPCj.png	xsen                     	0.9983
test2/task3\Cegyxuarz3hfEQRu.png	mm1c                     	0.8914
test2/task3\CfhJ4tq0z0KITTI7.png	4440                     	0.9990
test2/task3\ClowAeRu4wmO7O8B.png	pkhc                     	0.9986
test2/task3\CuwHwEFsrvDN7E7C.png	0cry                     	0.8153
test2/task3\CwqJIaE5OkLMsEE8.png	5n2h                     	0.8764
test2/task3\CzFzWoZKZzG4I9HG.png	1shr                     	0.9967
test2/task3\D7Bz3F8MmahaQ56Z.png	x9ce                     	0.9986
test2/task3\D7HzDVrdZXEFgWcc.png	aary                     	0.9974
test2/task3\D7lFPipTt17FmW45.png	3pad                     	0.9905
test2/task3\DAP6eyRldoQHZdw3.png	rcex                     	0.9972
test2/task3\DJ8Mqmus1ESrlAAc.png	6y0x                     	0.3476
test2/task3\DTYAua83CUvhk0UT.png	nced                     	0.9975
test2/task3\DakjyTyC4J7x5PAb.png	djxp                     	0.9971
test2/task3\DsDa4EPrGkjVhPLf.png	ef8t                     	0.3117
test2/task3\DxfmkxQex25tReJ4.png	ffc5                     	0.3868
test2/task3\DzIFWlyg2D6cqvwC.png	6xkt                     	0.9983
test2/task3\E7zD0iUYuS6bW0Sj.png	426w                     	0.9987
test2/task3\E8cVfdEFB4NRU9iA.png	dkjt                     	0.9988
test2/task3\EGd5rhO8msSnHxfd.png	f5wf                     	0.9966
test2/task3\EJMmbGGLhMluv6hO.png	f7wv                     	0.9970
test2/task3\EO6Pi7fCQVwEZBNS.png	h78k                     	0.9983
test2/task3\EOwcLGNJAvZfXtXJ.png	5xfj                     	0.9936
test2/task3\EP09YAI8ooiHDIL4.png	0176                     	0.9976
test2/task3\EQcoVyedUh6LyZmX.png	5yac                     	0.9980
test2/task3\ERR4AUuTcrCPGpMx.png	472n                     	0.6453
test2/task3\ESZje3LvK7a6Cs8f.png	1m5s                     	0.9977
test2/task3\ETDwVRVAvBACYeqg.png	r16t                     	0.9946
test2/task3\EXVmN3xBqpQM2Hwr.png	0rra                     	0.9955
test2/task3\EcoTAoDb4Ruv0Q9f.png	40ve                     	0.9986
test2/task3\EeQVw2rFKKmLCOgO.png	3ra6                     	0.9980
test2/task3\EgFHulrLmHPcJkFU.png	x6y2                     	0.9991
test2/task3\EoPbaUb48WMwpeGO.png	08jy                     	0.9988
test2/task3\ErEioMir3Np1RcFP.png	sv79                     	0.9985
test2/task3\EthQUXVbjNhBlqCZ.png	vdfm                     	0.9977
test2/task3\EtpA1p8m4Fe1YJrn.png	d1cy                     	0.9956
test2/task3\Ey797H88nPy8nRbk.png	v8wt                     	0.9982
test2/task3\F3ao3pDX2JAlXRLc.png	tk3x                     	0.9980
test2/task3\FOprgyhxulVYWm41.png	t44v                     	0.9992
test2/task3\FT6ibDoAztL3FqXP.png	3n04                     	0.9920
test2/task3\Fp10yKo1pnjnMlcT.png	mwes                     	0.9955
test2/task3\FpS0LrNObVFvxUe2.png	4mnm                     	0.9959
test2/task3\FvpRpK6EH4XbtjvK.png	ryw8                     	0.9933
test2/task3\G34A0bBRvtgTjRKY.png	t046                     	0.9987
test2/task3\GAMpX59Tt7IOwdhU.png	a4ys                     	0.9979
test2/task3\GCwjl8LtcihZph9L.png	hsnh                     	0.9957
test2/task3\GFkFq0SeyAiwlzLI.png	y5hs                     	0.9990
test2/task3\GHLqcKmQ8pAscWEt.png	dwnr                     	0.9980
test2/task3\GKkO63UrtF8FoBry.png	01en                     	0.9380
test2/task3\GT60PTSyQ115EgDu.png	142e                     	0.9989
test2/task3\GTJASQbCgXRYUBol.png	phah                     	0.9971
test2/task3\GUTdvSw2S04get5P.png	0545                     	0.9991
test2/task3\GnlVyRwayVb0c5o9.png	8md1                     	0.9926
test2/task3\Gp9VwaW42zkysaNF.png	a3tj                     	0.9746
test2/task3\GqEWLdSufODyX0HO.png	avdc                     	0.9987
test2/task3\GttXnivvxv4uNkGz.png	0wh4                     	0.9967
test2/task3\GusAcX8Fhskn8jJ8.png	1vr2                     	0.9980
test2/task3\H6lU12mezyTpilZN.png	cm23                     	0.9975
test2/task3\HHK0Oog1mhecT9HO.png	p1wh                     	0.9981
test2/task3\HKYBt4SKxYXnt2PV.png	38r9                     	0.9976
test2/task3\HP7FWM40neZbXysU.png	k9rr                     	0.9975
test2/task3\HPnrQ6YYwzc2RPBi.png	v0yr                     	0.9965
test2/task3\HSkdkTRkM5B3hqEB.png	10d7                     	0.9985
test2/task3\HrKcPeH94xzm96PL.png	pm97                     	0.9976
test2/task3\HvZVFe6SDNTtuNAD.png	dhcn                     	0.9960
test2/task3\HwxOi9Fz64sgmc1h.png	xpt0                     	0.9494
test2/task3\I2rzRVmhBG5uLhDV.png	39x5                     	0.6419
test2/task3\IBCcr2hAYWqLg7FC.png	0w46                     	0.9981
test2/task3\IBdaUD9tYTfvdjjR.png	a84c                     	0.9985
test2/task3\IE7mShoPIiIk8i8d.png	h3s8                     	0.9988
test2/task3\IEGe76RWxfbpYGOg.png	ps6f                     	0.5762
test2/task3\IHfclP6Dae1zdjg5.png	y613                     	0.9957
test2/task3\IN2mwLNRoZQigBHk.png	7fcc                     	0.9981
test2/task3\INYnfWrxCUUpnT6u.png	d3dy                     	0.9807
test2/task3\IU3nJjUu8EJTWWun.png	a2fv                     	0.9983
test2/task3\Ie56JmFnwUlneHFK.png	ptxn                     	0.9953
test2/task3\Ig4fd20CskyKFgIj.png	p94m                     	0.9975
test2/task3\Ih5uTAkJv4fxTDno.png	wvxn                     	0.7918
test2/task3\ImAz07aRid5tyYYD.png	cykp                     	0.8662
test2/task3\IoXb6KIiG9nBCiPw.png	mwkx                     	0.9963
test2/task3\IpgmLHurKiahqy5T.png	4nn1                     	0.9647
test2/task3\IqpAGCVif4QrUFuD.png	pva1                     	0.6014
test2/task3\Iswnuag7U7PJ0dfr.png	vved                     	0.6010
test2/task3\J230s6yyYxS9D17w.png	m1rn                     	0.9983
test2/task3\JAPG38cEa2uKHZZe.png	yj29                     	0.9976
test2/task3\JGbuFXsHQU6B4b3w.png	028j                     	0.9986
test2/task3\JGswDHsCvFPhRfyM.png	69kd                     	0.9980
test2/task3\JJ8DkT6gDy7R7RZT.png	833v                     	0.9954
test2/task3\JLyMLvv6zgZOqsOC.png	9yke                     	0.9974
test2/task3\JMNOTAMGWOAMyT1D.png	rcee                     	0.9969
test2/task3\JR1vZJ0KUXSV6G2w.png	rfpk                     	0.9974
test2/task3\JVyJNC0CYdNC3AGa.png	d4me                     	0.9975
test2/task3\JWDIv3hPZNjabPUu.png	44ay                     	0.9989
test2/task3\JXpVonw3R66oRv8D.png	m4d2                     	0.9960
test2/task3\K2mRBY5TZkssx0wB.png	xywp                     	0.9978
test2/task3\KBzo5UWkJihnQl3X.png	w906                     	0.9987
test2/task3\KJyzK3dwz9A2sR3b.png	d6yv                     	0.9988
test2/task3\KKiC0MLWi9ImBBDV.png	ewrv                     	0.9980
test2/task3\KNAVilQ02bJxycG6.png	756c                     	0.9975
test2/task3\KNWg3uninXLvpZej.png	dnr7                     	0.9981
test2/task3\KNwqhZJ4LZqjxdUD.png	app7                     	0.9983
test2/task3\KPed6rmympI2CgdZ.png	61w5                     	0.9982
test2/task3\KXdCVSOUeUkk2Mn3.png	2se3                     	0.9984
test2/task3\KYQLWrK7qfGbMORv.png	7kdn                     	0.9961
test2/task3\Ka4OZdnpRovMkDTH.png	f479                     	0.9981
test2/task3\KcSZxvrrT0CD5ZjM.png	9nkp                     	0.9984
test2/task3\KdxtArBfe1p3TJmP.png	03v9                     	0.9986
test2/task3\KeMdtRO8sO9DXAl1.png	0r91                     	0.9944
test2/task3\Kh48Z7Pc9HJaSpQ4.png	07v0                     	0.9981
test2/task3\Km3IerZEn4ezx24q.png	v15x                     	0.9986
test2/task3\KmyQFhbMp4ycUm98.png	7wh6                     	0.9974
test2/task3\KpDMs1x2eMxMHEKx.png	4cna                     	0.9992
test2/task3\KpxKYsqWIdNveV5s.png	ph74                     	0.9975
test2/task3\KrM9rDNMjYVAwa6b.png	e3m2                     	0.7330
test2/task3\Ks3fZ8PLdapThMKz.png	9jcs                     	0.9989
test2/task3\KwB5iDKJlgPUbXNa.png	s8c3                     	0.9987
test2/task3\Kz3jPJ8nVIggMk0O.png	h6fc                     	0.9986
test2/task3\KzlyelyAd2QqDlYN.png	ypxv                     	0.9985
test2/task3\Kzp6VMG7CwRmiRK1.png	de8m                     	0.9979
test2/task3\L5h3aGCtNIFbCrBM.png	jep7                     	0.9980
test2/task3\L7OZy75Pm1nH6f0q.png	2ypw                     	0.9987
test2/task3\L9aegb7R3SE3QGKK.png	450s                     	0.9985
test2/task3\LGhfscSIf92FNDSl.png	4ta7                     	0.9984
test2/task3\LNNlA3JgD9I8oDBn.png	x3xt                     	0.9989
test2/task3\LOIQBqepomrfx794.png	498s                     	0.9985
test2/task3\LPcGxOI9oYXh7oKQ.png	v49h                     	0.9979
test2/task3\LVxfwrIpgnenWO93.png	f7k2                     	0.9983
test2/task3\LcidpV8GIztzRhO1.png	w6ft                     	0.9985
test2/task3\LfNgGMhAhzP5x0ly.png	a69r                     	0.9925
test2/task3\Lgh0XX9kpRTgOnDb.png	kjhj                     	0.9970
test2/task3\LhwD8ezO6l8XOCPy.png	82fx                     	0.9890
test2/task3\LiL95UbBLN7QtQ0m.png	j2as                     	0.9931
test2/task3\M8SklqPse5uRrlVb.png	7k6k                     	0.9976
test2/task3\M9ge4DSNXoLYLQak.png	sr8w                     	0.5908
test2/task3\M9m2VWY1kLmiKyrh.png	26rw                     	0.9873
test2/task3\M27X2bcSkSyGOf20.png	2sp8                     	0.9256
test2/task3\MDlvJijq6PxXj0We.png	s0ry                     	0.9961
test2/task3\MHdB6kgo03VOjD1p.png	8kt4                     	0.9983
test2/task3\MIuX666uHJNj5gZM.png	6tyr                     	0.9962
test2/task3\MRwzojUvDVVyXnev.png	p4sk                     	0.9906
test2/task3\MXE6Av9zZ39GxAPw.png	vp7w                     	0.9649
test2/task3\Mc2JRN1aFwGIzvcX.png	9n6s                     	0.9990
test2/task3\MeGIkyl6Zid7kX2l.png	xmd1                     	0.9970
test2/task3\Mhbw8e4dafY3IjWV.png	x275                     	0.9981
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
test2/task3\MiHBCg8NBhVf9Cg6.png	6tsx                     	0.8116
test2/task3\MkNwzozw3nGf8RLm.png	kk5s                     	0.9984
test2/task3\MsUPsd7YM0G0ygsZ.png	txcj                     	0.9983
